dato;klokkeslett;stop_name;tid_dag;faktisk_tid;avstand;normal_tid;ko_min_km;forsinkelser;bil
2026-01-07;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,0333333333333334;
2026-01-07;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,0333333333333334;
2026-01-07;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,13333333333333333;
2026-01-08;15:30;Tromsø Prostneset;Ettermiddag;;;;;0,5666666666666667;
2026-01-08;14:15;Tromsø Prostneset;Ettermiddag;;;;;0,3416666666666667;
2026-01-08;14:45;Tromsø Prostneset;Ettermiddag;;;;;0,38333333333333336;
2026-01-08;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,425;
2026-01-08;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,7833333333333333;
2026-01-08;14:30;Tromsø Prostneset;Ettermiddag;;;;;0,38333333333333336;
2026-01-08;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,13333333333333333;
2026-01-08;15:15;Tromsø Prostneset;Ettermiddag;;;;;0,5666666666666667;
2026-01-08;15:00;Tromsø Prostneset;Ettermiddag;;;;;0,38333333333333336;
2026-01-08;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,35;
2026-01-08;14:00;Tromsø Prostneset;Ettermiddag;;;;;0,5;
2026-01-08;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,13333333333333333;
2026-01-09;14:00;Tromsø Prostneset;Ettermiddag;;;;;2,0166666666666666;
2026-01-09;14:15;Tromsø Prostneset;Ettermiddag;;;;;1,6833333333333333;
2026-01-09;14:30;Tromsø Prostneset;Ettermiddag;;;;;1,6833333333333333;
2026-01-09;14:45;Tromsø Prostneset;Ettermiddag;;;;;1,825;
2026-01-09;16:30;Tromsø Prostneset;Ettermiddag;;;;;0,55;
2026-01-09;16:45;Tromsø Prostneset;Ettermiddag;;;;;0,85;
2026-01-09;15:45;Tromsø Prostneset;Ettermiddag;;;;;0,25;
2026-01-09;16:15;Tromsø Prostneset;Ettermiddag;;;;;0,225;
2026-01-09;16:00;Tromsø Prostneset;Ettermiddag;;;;;0,18333333333333332;
2026-01-09;15:00;Tromsø Prostneset;Ettermiddag;;;;;1,5666666666666667;
2026-01-09;17:00;Tromsø Prostneset;Ettermiddag;;;;;;
2026-01-09;15:15;Tromsø Prostneset;Ettermiddag;;;;;1,4;
